2021-12-27 13:12:149 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 13:12:208 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 13:12:393 INFO  HomePage :41 - Click on summer option : [[ChromeDriver: chrome on WINDOWS (a6514bc2d6866b0584c1e83fb068baf1)] -> xpath: //ul[@class='submenu-container clearfix first-in-line-xs']//ul//li//a[@title='Summer Dresses'][normalize-space()='Summer Dresses']]
2021-12-27 14:12:494 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:24 INFO  HomePage :41 - Click on summer option : [[ChromeDriver: chrome on WINDOWS (5af85708f0d368ba22f98963214529c6)] -> xpath: //ul[@class='submenu-container clearfix first-in-line-xs']//ul//li//a[@title='Summer Dresses'][normalize-space()='Summer Dresses']]
2021-12-27 14:12:411 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:447 INFO  HomePage :41 - Click on summer option : [[ChromeDriver: chrome on WINDOWS (9a64699f880090fcb0459b995fde4190)] -> xpath: //ul[@class='submenu-container clearfix first-in-line-xs']//ul//li//a[@title='Summer Dresses'][normalize-space()='Summer Dresses']]
2021-12-27 14:12:115 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:106 INFO  HomePage :34 - Click on women category : [[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //a[@title='Women']]
2021-12-27 14:12:936 INFO  WomanPage :23 - Click on product : [[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //h5[@itemprop='name']//a[@title='Faded Short Sleeve T-shirts']]
2021-12-27 14:12:992 INFO  ProductsPage :29 - Click on item to add in to basket : [[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //button[@name='Submit']//span]
2021-12-27 14:12:266 INFO  ProductsPage :34 - Click on process to check out button :  [[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //a[@title='Proceed to checkout']//span]
2021-12-27 14:12:326 INFO  ShoppingCartPage :30 - Verify the delete button is displayed :[[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //a[@title='Delete']//i]
2021-12-27 14:12:386 INFO  ShoppingCartPage :35 - Click on Delete button : [[ChromeDriver: chrome on WINDOWS (9f97467ce777f9045eb3719ba899edde)] -> xpath: //a[@title='Delete']//i]
2021-12-27 14:12:689 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:215 INFO  HomePage :34 - Click on women category : [[ChromeDriver: chrome on WINDOWS (8c77ea55a1cbfff62c44e2a98703dcf9)] -> xpath: //a[@title='Women']]
2021-12-27 14:12:981 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:193 INFO  HomePage :34 - Click on women category : [[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //a[@title='Women']]
2021-12-27 14:12:445 INFO  WomanPage :23 - Click on product : [[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //h5[@itemprop='name']//a[@title='Faded Short Sleeve T-shirts']]
2021-12-27 14:12:502 INFO  ProductsPage :29 - Click on item to add in to basket : [[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //button[@name='Submit']//span]
2021-12-27 14:12:769 INFO  ProductsPage :34 - Click on process to check out button :  [[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //a[@title='Proceed to checkout']//span]
2021-12-27 14:12:820 INFO  ShoppingCartPage :30 - Verify the delete button is displayed :[[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //a[@title='Delete']//i]
2021-12-27 14:12:885 INFO  ShoppingCartPage :35 - Click on Delete button : [[ChromeDriver: chrome on WINDOWS (a55d667f2ee463e5911b5a3519318c1b)] -> xpath: //a[@title='Delete']//i]
2021-12-27 14:12:73 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-27 14:12:891 INFO  HomePage :34 - Click on women category : [[ChromeDriver: chrome on WINDOWS (b225fe0bd380ede8e8a816259cefc0b1)] -> xpath: //a[@title='Women']]
